STA,STATE,CITY,LAT,LNG,Elev,File,LAT2,LNG2
24233,Washington,Seattle,47.45,-121.7,122,24233.tm2,47.62179947,-122.3503036
24157,Washington,Spokane,47.6333,-116.4667,721,24157.tm2,47.67229843,-117.4140015
24243,Washington,Yakima,46.5667,-119.4667,325,24243.tm2,46.59262848,-120.5289001
13866,West Virginia,Charleston,38.3667,-80.4,290,13866.tm2,38.35055161,-81.63043976
13729,West Virginia,Elkins,38.8833,-78.15,594,13729.tm2,38.8833,-78.15
3860,West Virginia,Huntington,38.3667,-81.45,255,03860.tm2,38.41294861,-82.43376923
14991,Wisconsin,Eau Claire,44.8667,-90.5167,273,14991.tm2,44.82115173,-91.49227142
14898,Wisconsin,Green Bay,44.4833,-87.8667,214,14898.tm2,44.52159882,-87.98975372
14920,Wisconsin,La Crosse,43.8667,-90.75,205,14920.tm2,43.82695007,-91.23390198
14837,Wisconsin,Madison,43.1333,-88.6667,262,14837.tm2,43.07979965,-89.38751984
14839,Wisconsin,Milwaukee,42.95,-86.1,211,14839.tm2,43.06335068,-87.9666214
24089,Wyoming,Casper,42.9167,-105.5333,1612,24089.tm2,42.83259964,-106.3292999
24018,Wyoming,Cheyenne,41.15,-103.1833,1872,24018.tm2,41.14545059,-104.7923965
24021,Wyoming,Lander,42.8167,-107.2667,1696,24021.tm2,42.8167,-107.2667
24027,Wyoming,Rock Springs,41.6,-108.9333,2056,24027.tm2,41.59814072,-109.2214966
24029,Wyoming,Sheridan,44.7667,-105.0333,1209,24029.tm2,44.79209137,-106.9570999
